verb,person,tense,form,form (JW),notes
bring (animate) (by carrying in hand/hands),2d,rempast,èèstì.ʔnoóhlv́v́ʔi,e²¹sti¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Ip,rempast,èètì.ʔnoóhlv́v́ʔi,e²¹ti¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Ep,rempast,òòjì.ʔnoóhlv́v́ʔi,o²¹ji¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),2p,rempast,èèjì.ʔnoóhlv́v́ʔi,e²¹ji¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),3p,rempast,ùùnii.hnoóhlv́v́ʔi,u²¹ni²².hno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),1s,reppast,jì.ʔnoóhléʔi,ji¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),2s,reppast,hì.ʔnoóhléʔi,hi¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),3s,reppast,ùù.hnoóhléʔi,u²¹.hno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),Id,reppast,èènì.ʔnoóhléʔi,e²¹ni¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),Ed,reppast,òòstì.ʔnoóhléʔi,o²¹sti¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),2d,reppast,èèstì.ʔnoóhléʔi,e²¹sti¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),Ip,reppast,èètì.ʔnoóhléʔi,e²¹ti¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),Ep,reppast,òòjì.ʔnoóhléʔi,o²¹ji¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),2p,reppast,èèjì.ʔnoóhléʔi,e²¹ji¹.ʔno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),3p,reppast,ùùnii.hnoóhléʔi,u²¹ni²².hno²³hle³ʔi²,
bring (animate) (by carrying in hand/hands),1s,immpast,jì.ʔnoóka,ji¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),2s,immpast,hì.ʔnoóka,hi¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),3s,immpast,ka.hnoóka,ka².hno²³ka²,
bring (animate) (by carrying in hand/hands),Id,immpast,èènì.ʔnoóka,e²¹ni¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),Ed,immpast,òòstì.ʔnoóka,o²¹sti¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),2d,immpast,èèstì.ʔnoóka,e²¹sti¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),Ip,immpast,èètì.ʔnoóka,e²¹ti¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),Ep,immpast,òòjì.ʔnoóka,o²¹ji¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),2p,immpast,èèjì.ʔnoóka,e²¹ji¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),3p,immpast,àànii.hnoóka,a²¹ni²².hno²³ka²,
bring (animate) (by carrying in hand/hands),1s,fut,tajíi.ʔnoóhli,ta²ji³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),2s,fut,thíi.ʔnoóhli,thi³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),3s,fut,taka.hnóóhli,ta²ka².hno³³hli²,
bring (animate) (by carrying in hand/hands),Id,fut,tayeéníi.ʔnoóhli,ta²ye²³ni³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),Ed,fut,tayoóstíi.ʔnoóhli,ta²yo²³sti³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),2d,fut,tayeéstíi.ʔnoóhli,ta²ye²³sti³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),Ip,fut,tayeétíi.ʔnoóhli,ta²ye²³ti³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),Ep,fut,tayoójíi.ʔnoóhli,ta²yo²³ji³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),2p,fut,tayeéjíi.ʔnoóhli,ta²ye²³ji³².ʔno²³hli²,
bring (animate) (by carrying in hand/hands),3p,fut,tvv́níí.hnoohli,tv²³ni³³.hno²²hli²,
bring (animate) (by carrying in hand/hands),1s,inf,jì.ʔnoóhísti,ji¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),2s,inf,hì.ʔnoóhísti,hi¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),3s,inf,uu.hnoóhísti,u²².hno²³hi³sti²,
bring (animate) (by carrying in hand/hands),Id,inf,eenì.ʔnoóhísti,e²²ni¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),Ed,inf,oostì.ʔnoóhísti,o²²sti¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),2d,inf,eestì.ʔnoóhísti,e²²sti¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),Ip,inf,eetì.ʔnoóhísti,e²²ti¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),Ep,inf,oojì.ʔnoóhísti,o²²ji¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),2p,inf,eejì.ʔnoóhísti,e²²ji¹.ʔno²³hi³sti²,
bring (animate) (by carrying in hand/hands),3p,inf,uunii.hnoóhísti,u²²ni²².hno²³hi³sti²,
bring (animate) (by carrying in hand/hands),1s,presimp,jíi.ʔnoóka,ji³².ʔno²³ka²,
bring (animate) (by carrying in hand/hands),2s,presimp,hì.ʔnoóka,hi¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),3s,presimp,wika.hnóóka,wi²ka².hno³³ka²,
bring (animate) (by carrying in hand/hands),Id,presimp,eéníi.ʔnoóka,e²³ni³².ʔno²³ka²,
bring (animate) (by carrying in hand/hands),Ed,presimp,woóstíi.ʔnoóka,wo²³sti³².ʔno²³ka²,
bring (animate) (by carrying in hand/hands),2d,presimp,eestì.ʔnoóka,e²²sti¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),Ip,presimp,eétíi.ʔnoóka,e²³ti³².ʔno²³ka²,
bring (animate) (by carrying in hand/hands),Ep,presimp,woójíi.ʔnoóka,wo²³ji³².ʔno²³ka²,
bring (animate) (by carrying in hand/hands),2p,presimp,eejì.ʔnoóka,e²²ji¹.ʔno²³ka²,
bring (animate) (by carrying in hand/hands),3p,presimp,waníí.hnooka,wa²ni³³.hno²²ka²,
bring (animate) (by carrying in hand/hands),1s,futimp,jì.ʔnoóhlv́v́ʔi,ji¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),2s,futimp,hì.ʔnoóhlv́v́ʔi,hi¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),3s,futimp,ka.hnoóhlv́v́ʔi,ka².hno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Id,futimp,èènì.ʔnoóhlv́v́ʔi,e²¹ni¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),Ed,futimp,òòstì.ʔnoóhlv́v́ʔi,o²¹sti¹.ʔno²³hlv³³ʔi²,
bring (animate) (by carrying in hand/hands),2d,futimp,èèstì.ʔnoóhlv́v́ʔi,e²¹sti¹.ʔno²³hlv³³ʔi²,
